"Fly_Number","DurNBodyShovePAL","DurNBodyShovePAN","DurNFeedPAL","DurNFeedPAN","DurNHeadbuttPAL","DurNHeadbuttPAN","DurNLegShovePAL","DurNLegShovePAN","DurNLungePAL","DurNLungePAN","DurNWingThreatPAL","DurNWingThreatPAN","DurNRetreatPAL","DurNRetreatPAN","DurNMovingPAL","DurNMovingPAN","DurNFencingPAL","DurNFencingPAN","DurTTFeedPAL","DurTTFeedPAN","DurTTMovingPAL","DurTTMovingPAN","DurTTFencingPAL","DurTTFencingPAN","DurXFeedPAL","DurXFeedPAN","DurXMovingPAL","DurXMovingPAN","DurXFencingPAL","DurXFencingPAN"
"D32_56",0,0,4,1,0,0,0,0,1,0,0,0,0,2,9,25,2,2,479.494,6.011,185.764,298.922,874.351,874.351,119.8735,6.011,20.640439999999998,11.95688,437.1755,437.1755
"D32_57",0,0,2,7,0,0,5,2,1,1,1,0,0,6,25,40,9,9,14.278,107.993,463.746,585.798,885.844,885.844,7.139,15.42757,18.54984,14.644950000000001,98.42711,98.42711
"D32_58",0,0,2,4,0,0,19,3,0,0,0,1,1,1,5,20,17,17,717.651,168.509,149.652,453.198,751.486,751.486,358.8255,42.12725,29.930400000000002,22.6599,44.205059999999996,44.205059999999996
"D32_60",0,0,5,4,0,0,10,5,0,0,0,1,0,7,6,16,10,10,640.012,302.326,90.915,146.024,792.03,792.03,128.0024,75.5815,15.1525,9.1265,79.203,79.203
"D33_62",0,0,3,3,0,0,3,0,0,0,0,0,0,3,2,10,6,6,866.299,502.78,17.918,190.087,750.986,750.484,288.76633000000004,167.59332999999998,8.959,19.0087,125.16433,125.08067
"D33_64",0,0,4,10,0,0,2,1,0,0,0,0,0,2,7,26,8,8,491.447,490.342,66.538,235.498,759.98,759.98,122.86175,49.0342,9.50543,9.05762,94.9975,94.9975
"D33_65",0,0,1,8,0,0,7,1,0,0,0,0,1,0,20,14,5,5,164.826,732.149,121.984,124.042,855.839,855.839,164.826,91.51862,6.0992,8.86014,171.1678,171.1678
"D34_69",0,0,2,3,0,0,3,1,1,0,0,0,0,0,13,23,7,6,84.058,210.762,124.012,256.572,709.176,709.176,42.029,70.254,9.53938,11.155299999999999,101.31086,118.196
"A11_5",0,0,1,3,0,0,2,0,0,0,0,0,0,1,12,5,2,2,9.054,596.413,88.991,48.061,19.415,19.415,9.054,198.80433,7.41592,9.612200000000001,9.7075,9.7075
"C14_20",0,1,2,20,0,0,7,0,0,1,0,10,0,2,33,32,8,8,35.533,388.745,369.524,367.792,898.843,898.843,17.7665,19.43725,11.197700000000001,11.4935,112.35538000000001,112.35538000000001
"A31_40",0,0,5,9,0,0,11,0,0,0,0,0,0,3,5,26,8,8,830.944,363.16,32.229,276.129,667.438,666.932,166.1888,40.35111,6.4458,10.62035,83.42975,83.3665
"D22_36",0,0,10,9,0,0,11,5,0,0,0,4,1,2,13,21,10,10,715.528,195.632,183.979,383.882,814.053,814.053,71.5528,21.73689,14.15223,18.280099999999997,81.4053,81.4053
"D32_55",1,0,6,4,0,0,11,2,0,0,6,0,0,2,6,19,8,8,798.034,103.272,111.835,269.414,473.753,473.753,133.00567,25.818,18.63917,14.179680000000001,59.219120000000004,59.219120000000004
"D32_59",1,0,4,4,0,0,14,4,0,0,0,0,0,6,4,28,17,17,828.492,82.543,26.894,517.891,873.111,873.111,207.123,20.63575,6.7235,18.49611,51.35947,51.35947
"A31_39",0,0,0,11,0,0,3,1,0,0,0,0,0,0,20,42,1,1,0,272.215,148.232,296.09,260.752,261.243,0,24.74682,7.4116,7.04976,260.752,261.243
"B12_6",0,0,7,6,0,0,3,0,0,0,0,0,0,1,22,20,2,2,148.391,306.435,363.079,230.698,667.659,667.659,21.19871,51.0725,16.50359,11.5349,333.8295,333.8295
"D31_49",0,0,0,11,0,0,0,2,0,0,0,0,0,1,17,19,1,1,0,649.717,215.094,125.174,493.003,493.003,0,59.06518,12.65259,6.5881099999999995,493.003,493.003
"A21_26",0,0,3,2,0,0,4,0,2,0,0,0,0,2,11,22,3,3,300.403,32.064,110.043,323.854,878.351,879.346,100.13433,16.032,10.00391,14.72064,292.78367,293.11533000000003
"D22_35",0,0,2,10,0,0,1,0,0,0,0,0,0,1,23,40,2,2,493.979,193.389,250.884,306.278,448.692,448.692,246.9895,19.338900000000002,10.908,7.65695,224.346,224.346
"B11_1",0,0,5,0,0,0,0,0,0,0,0,0,0,0,6,13,0,0,636.477,0,49.108,88.826,0,0,127.2954,0,8.18467,6.83277,0,0
"D23_40",0,0,0,3,0,0,1,0,0,0,0,0,0,0,9,21,3,3,0,287.947,105.627,425.234,369.4,368.652,0,95.98233,11.73633,20.24924,123.13333,122.884
