Fly_Number,file_name,Letter,Sex,Temp,temp_room,Species,Mass,mass_dif
D12_7,D12,D,F,M,25.3,PAN,0.257,0.14800000000000002
D12_7,D12,D,F,M,25.3,PAL,0.405,0.14800000000000002
D12_8,D12,D,F,M,25.3,PAN,0.239,0.05199999999999999
D12_8,D12,D,F,M,25.3,PAL,0.291,0.05199999999999999
D12_9,D12,D,F,M,25.3,PAN,0.263,0.19
D12_9,D12,D,F,M,25.3,PAL,0.453,0.19
D12_10,D12,D,F,M,25.3,PAN,0.225,0.267
D12_10,D12,D,F,M,25.3,PAL,0.492,0.267
D12_11,D12,D,F,M,25.3,PAN,0.243,0.21100000000000002
D12_11,D12,D,F,M,25.3,PAL,0.454,0.21100000000000002
D12_12,D12,D,F,M,25.3,PAN,0.172,0.317
D12_12,D12,D,F,M,25.3,PAL,0.489,0.317
D13_13,D13,D,M,M,25.1,PAN,NA,NA
D13_13,D13,D,M,M,25.1,PAL,NA,NA
D13_14,D13,D,M,M,25.1,PAN,0.163,0.155
D13_14,D13,D,M,M,25.1,PAL,0.318,0.155
D13_15,D13,D,M,M,25.1,PAN,0.161,0.13599999999999998
D13_15,D13,D,M,M,25.1,PAL,0.297,0.13599999999999998
D13_16,D13,D,M,M,25.1,PAN,0.164,0.13799999999999998
D13_16,D13,D,M,M,25.1,PAL,0.302,0.13799999999999998
D13_17,D13,D,M,M,25.1,PAN,0.149,0.157
D13_17,D13,D,M,M,25.1,PAL,0.306,0.157
D13_18,D13,D,M,M,25.1,PAN,0.167,-0.167
D13_18,D13,D,M,M,25.1,PAL,NA,-0.167
D14_19,D14,D,F,M,25.3,PAN,0.154,0.24900000000000003
D14_19,D14,D,F,M,25.3,PAL,0.403,0.24900000000000003
D14_20,D14,D,F,M,25.3,PAN,0.245,0.183
D14_20,D14,D,F,M,25.3,PAL,0.428,0.183
D14_21,D14,D,F,M,25.3,PAN,0.27,0.238
D14_21,D14,D,F,M,25.3,PAL,0.508,0.238
D14_22,D14,D,F,M,25.3,PAN,0.257,0.15599999999999997
D14_22,D14,D,F,M,25.3,PAL,0.413,0.15599999999999997
D14_23,D14,D,F,M,25.3,PAN,0.236,0.21900000000000003
D14_23,D14,D,F,M,25.3,PAL,0.455,0.21900000000000003
D14_24,D14,D,F,M,25.3,PAN,0.193,0.293
D14_24,D14,D,F,M,25.3,PAL,0.486,0.293
D21_25,D21,D,M,H,30.6,PAN,0.164,0.143
D21_25,D21,D,M,H,30.6,PAL,0.307,0.143
D21_26,D21,D,M,H,30.6,PAN,0.153,0.10300000000000001
D21_26,D21,D,M,H,30.6,PAL,0.256,0.10300000000000001
D21_27,D21,D,M,H,30.6,PAN,NA,0.334
D21_27,D21,D,M,H,30.6,PAL,0.334,0.334
D21_28,D21,D,M,H,30.6,PAN,0.146,0.095
D21_28,D21,D,M,H,30.6,PAL,0.241,0.095
D21_29,D21,D,M,H,30.6,PAN,NA,0.276
D21_29,D21,D,M,H,30.6,PAL,0.276,0.276
D21_30,D21,D,M,H,30.6,PAN,0.153,0.12800000000000003
D21_30,D21,D,M,H,30.6,PAL,0.281,0.12800000000000003
D22_31,D22,D,F,H,30.2,PAN,0.202,0.16299999999999998
D22_31,D22,D,F,H,30.2,PAL,0.365,0.16299999999999998
D22_32,D22,D,F,H,30.2,PAN,0.225,0.19299999999999998
D22_32,D22,D,F,H,30.2,PAL,0.418,0.19299999999999998
D22_33,D22,D,F,H,30.2,PAN,0.24,0.22700000000000004
D22_33,D22,D,F,H,30.2,PAL,0.467,0.22700000000000004
D22_34,D22,D,F,H,30.2,PAN,0.284,0.11800000000000005
D22_34,D22,D,F,H,30.2,PAL,0.402,0.11800000000000005
D22_35,D22,D,F,H,30.2,PAN,0.261,0.20500000000000002
D22_35,D22,D,F,H,30.2,PAL,0.466,0.20500000000000002
D22_36,D22,D,F,H,30.2,PAN,0.235,0.18
D22_36,D22,D,F,H,30.2,PAL,0.415,0.18
D23_37,D23,D,M,H,30.3,PAN,NA,0.29
D23_37,D23,D,M,H,30.3,PAL,0.29,0.29
D23_38,D23,D,M,H,30.3,PAN,0.168,0.13199999999999998
D23_38,D23,D,M,H,30.3,PAL,0.3,0.13199999999999998
D23_39,D23,D,M,H,30.3,PAN,0.176,0.08900000000000002
D23_39,D23,D,M,H,30.3,PAL,0.265,0.08900000000000002
D23_40,D23,D,M,H,30.3,PAN,0.168,0.11499999999999996
D23_40,D23,D,M,H,30.3,PAL,0.283,0.11499999999999996
D23_41,D23,D,M,H,30.3,PAN,0.167,0.08499999999999999
D23_41,D23,D,M,H,30.3,PAL,0.252,0.08499999999999999
D23_42,D23,D,M,H,30.3,PAN,0.172,0.07600000000000001
D23_42,D23,D,M,H,30.3,PAL,0.248,0.07600000000000001
D24_43,D24,D,F,H,30.3,PAN,NA,0.452
D24_43,D24,D,F,H,30.3,PAL,0.452,0.452
D24_44,D24,D,F,H,30.3,PAN,0.209,0.161
D24_44,D24,D,F,H,30.3,PAL,0.37,0.161
D24_45,D24,D,F,H,30.3,PAN,0.223,0.233
D24_45,D24,D,F,H,30.3,PAL,0.456,0.233
D24_46,D24,D,F,H,30.3,PAN,0.233,0.215
D24_46,D24,D,F,H,30.3,PAL,0.448,0.215
D24_47,D24,D,F,H,30.3,PAN,0.221,0.19599999999999998
D24_47,D24,D,F,H,30.3,PAL,0.417,0.19599999999999998
D24_48,D24,D,F,H,30.3,PAN,0.186,0.137
D24_48,D24,D,F,H,30.3,PAL,0.323,0.137
D31_49,D31,D,M,L,20.6,PAN,0.158,0.12300000000000003
D31_49,D31,D,M,L,20.6,PAL,0.281,0.12300000000000003
D31_50,D31,D,M,L,20.6,PAN,0.214,0.10600000000000001
D31_50,D31,D,M,L,20.6,PAL,0.32,0.10600000000000001
D31_51,D31,D,M,L,20.6,PAN,0.174,0.09600000000000003
D31_51,D31,D,M,L,20.6,PAL,0.27,0.09600000000000003
D31_52,D31,D,M,L,20.6,PAN,0.172,0.133
D31_52,D31,D,M,L,20.6,PAL,0.305,0.133
D31_53,D31,D,M,L,20.6,PAN,0.182,0.064
D31_53,D31,D,M,L,20.6,PAL,0.246,0.064
D31_54,D31,D,M,L,20.6,PAN,0.175,0.14200000000000002
D31_54,D31,D,M,L,20.6,PAL,0.317,0.14200000000000002
D32_55,D32,D,F,L,21.1,PAN,0.219,0.277
D32_55,D32,D,F,L,21.1,PAL,0.496,0.277
D32_56,D32,D,F,L,21.1,PAN,NA,0.496
D32_56,D32,D,F,L,21.1,PAL,0.496,0.496
D32_57,D32,D,F,L,21.1,PAN,0.23,0.07699999999999999
D32_57,D32,D,F,L,21.1,PAL,0.307,0.07699999999999999
D32_58,D32,D,F,L,21.1,PAN,0.222,0.221
D32_58,D32,D,F,L,21.1,PAL,0.443,0.221
