Fly_Number,DurNBodyShove,DurNFeed,DurNHeadbutt,DurNLegShove,DurNLunge,DurNWingThreat,DurNRetreat,DurNMoving,DurNFencing,DurTTFeed,DurTTMoving,DurTTFencing,DurXFeed,DurXMoving,DurXFencing,Species,file_name,Letter,Sex,Temp,temp_room,Mass,mass_dif,fencing_presence,total_ag_acts
D32_59,1,4,0,14,0,0,0,4,17,828.492,26.894,873.111,207.123,6.7235,51.35947,PAL,D32,D,F,L,21.1,0.402,0.19000000000000003,1,32
A31_39,0,0,0,3,0,0,0,20,1,0,148.232,260.752,0,7.4116,260.752,PAL,A31,A,F,H,30.4,0.451,0.232,1,4
B12_6,0,7,0,3,0,0,0,22,2,148.391,363.079,667.659,21.19871,16.50359,333.8295,PAL,B12,B,F,H,30.2,0.435,0.23,1,5
D31_49,0,0,0,0,0,0,0,17,1,0,215.094,493.003,0,12.65259,493.003,PAL,D31,D,M,L,20.6,0.281,0.12300000000000003,1,1
A21_26,0,3,0,4,2,0,0,11,3,300.403,110.043,878.351,100.13433,10.00391,292.78367,PAL,A21,A,F,L,20.9,0.524,0.30600000000000005,1,9
D22_35,0,2,0,1,0,0,0,23,2,493.979,250.884,448.692,246.9895,10.908,224.346,PAL,D22,D,F,H,30.2,0.466,0.20500000000000002,1,3
B11_1,0,5,0,0,0,0,0,6,0,636.477,49.108,0,127.2954,8.18467,0,PAL,B11,B,M,H,30.2,0.371,0.218,0,0
D23_40,0,0,0,1,0,0,0,9,3,0,105.627,369.4,0,11.73633,123.13333,PAL,D23,D,M,H,30.3,0.283,0.11499999999999996,1,4
B32_26,0,6,0,1,0,0,0,26,3,108.791,281.909,351.101,18.13183,10.842649999999999,117.03367,PAN,B32,B,F,M,25.5,0.236,0.354,1,4
B32_29,0,2,0,0,0,0,0,21,1,132.947,144.43,314.684,66.4735,6.87762,314.684,PAN,B32,B,F,M,25.5,0.225,0.256,1,1
B32_30,0,6,0,0,0,1,1,24,7,220.441,341.389,757.029,36.74017,14.224540000000001,108.147,PAN,B32,B,F,M,25.5,0.226,0.28700000000000003,1,8
A14_19,0,9,0,0,0,0,1,24,2,155.158,272.202,558.425,17.23978,11.34175,279.2125,PAN,A14,A,M,M,24.6,0.146,0.17,1,2
D13_15,0,8,0,0,0,0,0,13,2,449.596,144.718,5.51,56.1995,11.13215,2.755,PAN,D13,D,M,M,25.1,0.161,0.13599999999999998,1,2
C11_6,0,5,0,2,0,0,0,3,4,569.005,15.905,227.678,113.801,5.30167,56.9195,PAN,C11,C,F,L,20.9,0.22,0.234,1,6
A32_45,0,0,0,0,0,0,0,5,0,0,43.394,0,0,8.678799999999999,0,PAN,A32,A,M,H,30.3,0.167,0.145,0,0
C21_29,0,1,0,0,0,0,0,2,0,449.427,44.471,0,449.427,22.2355,0,PAN,C21,C,F,H,30,0.293,0.21800000000000003,0,0
C32_56,0,0,0,0,0,0,1,13,1,0,223.328,327.814,0,17.179080000000003,327.814,PAN,C32,C,M,M,25,0.153,0.18900000000000003,1,1
D13_17,0,0,0,0,0,0,0,19,5,0,701.756,607.834,0,36.93453,121.5668,PAN,D13,D,M,M,25.1,0.149,0.157,1,5
A11_2,0,5,0,1,0,0,0,26,0,90.358,307.312,0,18.0716,11.819690000000001,0,PAN,A11,A,F,M,24.6,0.213,0.3380000000000001,0,1
