Fly_Number,Letter,Temp,Sex,temp_room,bouts,mass_dif,TTBouts,resolved,loses,draws,wins,Species,Mass
D21_30,D,H,M,30.6,6,0.12800000000000003,851.833,0,0,6,0,PAN,0.153
D22_32,D,H,F,30.2,2,0.19299999999999998,459.436,0,0,2,0,PAN,0.225
D22_34,D,H,F,30.2,0,0.11800000000000005,0,0,0,0,0,PAN,0.284
D23_39,D,H,M,30.3,8,0.08900000000000002,870.343,0,0,8,0,PAN,0.176
D23_42,D,H,M,30.3,6,0.07600000000000001,894.594,1,0,5,1,PAN,0.172
D24_44,D,H,F,30.3,2,0.161,608.842,2,2,1,0,PAN,0.209
D24_46,D,H,F,30.3,5,0.215,877.614,3,0,2,3,PAN,0.233
D24_47,D,H,F,30.3,7,0.19599999999999998,791.513,0,0,7,0,PAN,0.221
D24_48,D,H,F,30.3,4,0.137,882.619,1,1,3,0,PAN,0.186
D31_53,D,L,M,20.6,6,0.064,881.373,4,4,2,0,PAN,0.182
D31_54,D,L,M,20.6,3,0.14200000000000002,900.003,0,0,3,0,PAN,0.175
D32_56,D,L,F,21.1,2,0.496,874.351,2,2,0,0,PAN,0
D32_57,D,L,F,21.1,9,0.07699999999999999,885.844,6,6,3,0,PAN,0.23
D32_58,D,L,F,21.1,17,0.221,751.486,2,1,15,1,PAN,0.222
D32_60,D,L,F,21.1,10,0,792.03,7,7,3,0,PAN,0
D33_62,D,L,M,21.1,6,-0.17,750.484,3,3,3,0,PAN,0.17
D33_64,D,L,M,21.1,8,0.126,759.98,2,2,6,0,PAN,0.191
D33_65,D,L,M,21.1,5,0,855.839,1,0,4,1,PAN,0
D34_69,D,L,F,21.3,7,0.16199999999999998,709.176,0,0,6,0,PAN,0.251
A11_5,A,M,F,24.6,2,0.432,19.415,1,1,1,0,PAN,0
C14_20,C,L,M,20.9,8,0.169,898.843,2,2,6,0,PAN,0.167
A31_40,A,H,F,30.4,8,0.259,666.932,3,3,5,0,PAN,0.215
D22_36,D,H,F,30.2,10,0.18,814.053,3,2,7,1,PAN,0.235
D32_55,D,L,F,21.1,8,0.277,473.753,2,2,6,0,PAN,0.219
D32_59,D,L,F,21.1,17,0.19000000000000003,873.111,6,6,11,0,PAN,0.212
A31_39,A,H,F,30.4,1,0.232,261.243,0,0,1,0,PAN,0.219
B12_6,B,H,F,30.2,2,0.23,667.659,1,1,1,0,PAN,0.205
D31_49,D,L,M,20.6,1,0.12300000000000003,493.003,1,1,0,0,PAN,0.158
A21_26,A,L,F,20.9,3,0.30600000000000005,879.346,2,2,1,0,PAN,0.218
D22_35,D,H,F,30.2,2,0.20500000000000002,448.692,1,1,1,0,PAN,0.261
B11_1,B,H,M,30.2,0,0.218,0,0,0,0,0,PAN,0.153
D23_40,D,H,M,30.3,3,0.11499999999999996,368.652,0,0,3,0,PAN,0.168
B32_26,B,M,F,25.5,3,0.354,351.101,0,0,3,0,PAL,0.59
B32_29,B,M,F,25.5,1,0.256,314.684,0,0,1,0,PAL,0.481
B32_30,B,M,F,25.5,7,0.28700000000000003,757.029,2,1,5,1,PAL,0.513
A14_19,A,M,M,24.6,2,0.17,558.421,1,0,1,1,PAL,0.316
D13_15,D,M,M,25.1,2,0.13599999999999998,4.005,1,1,1,0,PAL,0.297
C11_6,C,L,F,20.9,4,0.234,227.678,0,0,4,0,PAL,0.454
A32_45,A,H,M,30.3,0,0.145,0,0,0,0,0,PAL,0.312
C21_29,C,H,F,30,0,0.21800000000000003,0,0,0,0,0,PAL,0.511
C32_56,C,M,M,25,1,0.18900000000000003,327.814,1,0,0,1,PAL,0.342
D13_17,D,M,M,25.1,5,0.157,607.834,0,0,5,0,PAL,0.306
A11_2,A,M,F,24.6,0,0.3380000000000001,0,0,0,0,0,PAL,0.551
A11_3,A,M,F,24.6,1,0.323,790.023,0,0,1,0,PAL,0.323
A11_6,A,M,F,24.6,3,0.07600000000000001,705.186,3,3,0,0,PAL,0.337
A12_11,A,M,M,24.6,1,0.16299999999999998,722.959,1,0,0,1,PAL,0.3
A12_12,A,M,M,24.6,2,0.17699999999999996,793.025,1,1,1,0,PAL,0.346
A13_13,A,M,F,24.6,2,0.21399999999999997,386.615,2,0,0,2,PAL,0.49
A14_21,A,M,M,24.6,1,0.132,220.94,0,0,1,0,PAL,0.304
A14_22,A,M,M,24.6,1,0.09900000000000003,520.245,0,0,1,0,PAL,0.275
A14_23,A,M,M,24.6,0,0.11399999999999999,0,0,0,0,0,PAL,0.297
A14_24,A,M,M,24.6,0,0.142,0,0,0,0,0,PAL,0.299
A22_31,A,L,M,21.6,0,0.283,0,0,0,0,0,PAL,0.283
A31_37,A,H,F,30.4,2,0.28500000000000003,801.006,2,0,0,2,PAL,0.496
A32_43,A,H,M,30.3,2,0.13699999999999998,317.551,1,1,1,0,PAL,0.297
A32_44,A,H,M,30.3,0,0.156,0,0,0,0,0,PAL,0.303
A32_48,A,H,M,30.3,0,0.127,0,0,0,0,0,PAL,0.3
B12_10,B,H,F,30.2,4,0.30100000000000005,845.319,3,1,1,2,PAL,0.505
B12_8,B,H,F,30.2,0,0.24400000000000002,0,0,0,0,0,PAL,0.459
B21_11,B,L,M,20.9,4,0.154,620.355,2,0,2,2,PAL,0.316
B31_22,B,M,M,25.5,2,0.169,481.464,2,0,0,2,PAL,0.321
C11_4,C,L,F,20.9,0,0.22699999999999998,0,0,0,0,0,PAL,0.477
C11_5,C,L,F,20.9,1,0.25,645.378,0,0,1,0,PAL,0.496
C12_8,C,L,M,20.9,6,0.133,722.95,2,1,4,1,PAL,0.309
C12_9,C,L,M,20.9,3,0.14900000000000002,832.058,3,0,0,3,PAL,0.323
C13_15,C,L,F,20.9,7,0.24700000000000003,875.856,5,0,2,5,PAL,0.46
C22_31,C,H,M,30,1,0.135,163.645,1,0,0,1,PAL,0.323
C22_33,C,H,M,30,3,0.147,783.012,2,0,1,2,PAL,0.305
C23_37,C,H,F,30,1,0.334,765.002,0,0,1,0,PAL,0.532
C23_40,C,H,F,30,0,0.2919999999999999,0,0,0,0,0,PAL,0.566
C23_41,C,H,F,30,1,0.416,214.33,1,0,0,1,PAL,0.416
C24_43,C,H,M,30,1,0.10499999999999998,833.695,0,0,1,0,PAL,0.293
C24_45,C,H,M,30,2,0.14800000000000002,503.573,2,0,0,2,PAL,0.324
C24_48,C,H,M,30,4,0.183,868.602,1,0,3,1,PAL,0.357
C31_49,C,M,F,25,0,0.46,0,0,0,0,0,PAL,0.46
C31_53,C,M,F,25,4,0.33499999999999996,834.301,2,1,2,1,PAL,0.586
C32_57,C,M,M,25,3,0.14,599.088,1,1,2,0,PAL,0.314
C32_58,C,M,M,25,2,0.18200000000000002,79.571,0,0,2,0,PAL,0.34
C33_65,C,M,F,25,0,0.196,0,0,0,0,0,PAL,0.481
C33_66,C,M,F,25,2,0.553,864.345,2,2,0,0,PAL,0.553
C34_67,C,M,M,25,1,0.11199999999999999,192.784,0,0,1,0,PAL,0.299
C34_68,C,M,M,25,2,0.164,207.68,0,0,2,0,PAL,0.333
C34_69,C,M,M,25,5,0.168,717.449,1,0,4,1,PAL,0.329
C34_71,C,M,M,25,1,0.18000000000000002,227.21,0,0,1,0,PAL,0.323
D12_11,D,M,F,25.3,0,0.21100000000000002,0,0,0,0,0,PAL,0.454
D12_12,D,M,F,25.3,0,0.317,0,0,0,0,0,PAL,0.489
D12_9,D,M,F,25.3,2,0.19,473.207,2,0,0,2,PAL,0.453
D13_18,D,M,M,25.1,1,-0.167,464.947,1,0,0,1,PAL,0
D14_19,D,M,F,25.3,1,0.24900000000000003,517.989,0,0,1,0,PAL,0.403
D14_21,D,M,F,25.3,0,0.238,0,0,0,0,0,PAL,0.508
D14_23,D,M,F,25.3,0,0.21900000000000003,0,0,0,0,0,PAL,0.455
D21_27,D,H,M,30.6,4,0.334,861.338,0,0,4,0,PAL,0.334
D21_29,D,H,M,30.6,1,0.276,421.657,1,0,0,1,PAL,0.276
D23_37,D,H,M,30.3,2,0.29,690.416,0,0,2,0,PAL,0.29
D24_45,D,H,F,30.3,0,0.233,0,0,0,0,0,PAL,0.456
D31_50,D,L,M,20.6,1,0.10600000000000001,82.353,0,0,1,0,PAL,0.32
D31_51,D,L,M,20.6,0,0.09600000000000003,0,0,0,0,0,PAL,0.27
D33_63,D,L,M,21.1,0,0.11500000000000002,0,0,0,0,0,PAL,0.273
